const,SIZE,ROE,ROA,ROS,LEV,FOR,GOV,CHAIR,Duality,CEO1,BSIZE
1.0,28.22558476510969,0.5638347963542192,0.18784174435281462,0.17056984644186182,1.3589548225170311,33.0,0.0,0.0,1.0,0.0,6.0
1.0,28.379262358798066,9.924696241560607,3.341510450442942,2.1360951829468293,18.308528595417105,37.0,0.0,0.0,1.0,0.0,6.0
1.0,29.067523682940344,25.724805179979477,4.077027120108706,3.418920692932571,6.648215057264695,49.0,43.0,0.0,0.0,0.0,7.0
1.0,29.053362891379784,4.37196046790268,1.808890531781373,1.9671642256154565,2.2043423940764173,54.0,43.0,1.0,0.0,0.0,7.0
1.0,25.994427810749077,0.048905234684360595,0.02505647039245639,0.04078874102481788,0.054555384150957134,7.0,0.0,0.0,0.0,0.0,5.0
1.0,26.070744727272793,0.015768863385689627,0.00543619178308311,0.0020356660674675825,0.022243987683845026,6.0,0.0,0.0,0.0,0.0,5.0
1.0,29.734817408251786,0.9623047299605578,0.88686175782396,1.2484781126918518,9.988575026773555,36.0,0.0,0.0,0.0,0.0,7.0
1.0,29.79575234500737,0.0370814823416953,0.0336458772744108,0.043293998286715714,12.260134929230135,8.0,0.0,0.0,0.0,0.0,6.0
1.0,26.079970029194175,0.010248685008284191,0.004761529418288968,0.009312034559824918,0.06921158345473005,6.0,0.0,0.0,0.0,1.0,3.0
1.0,29.528802881789087,0.01095040831768514,0.00579491578872653,0.008564490721663905,2.329842708964264,2.0,0.0,0.0,0.0,0.0,5.0
1.0,29.657896184651804,0.00861802284734723,0.006442596819275504,0.006980009561246017,1.3125731105383789,1.0,0.0,0.0,0.0,0.0,7.0
1.0,24.436356627782896,0.0006371940012731121,0.0005189891528930603,0.0005522947581959325,0.000553174096054326,1.0,0.0,0.0,0.0,0.0,3.0
1.0,25.076668754391207,0.036665386201072604,0.029890911606950194,0.023044245765867107,0.1817874918722578,1.0,0.0,0.0,0.0,0.0,3.0
1.0,30.04105154982121,4.4357186437723355,3.3914736431230303,2.550726401787185,13.705623625510524,21.0,60.0,0.0,0.0,0.0,5.0
1.0,28.928372235208982,0.058621007868909704,0.02867285656252173,0.11109020957206463,0.14811344807941218,19.0,0.0,0.0,0.0,0.0,5.0
1.0,28.94937383853672,0.05489826687535,0.021941953063843365,0.06559539373226411,0.16751107060624912,15.0,0.0,0.0,0.0,0.0,5.0
1.0,28.254292892827415,1.03909667152916,0.4243992124277797,0.25286349015194304,3.6796415517038086,18.0,0.0,0.0,1.0,0.0,6.0
