TotalAssets,Debt,Equity,ProfitBeforeTax,ProfitAfterTax,Profit_Others,Revenue_Gross,Revenue_Net,D,Ind,Gender,Position,YearBirth,Edu,Nationality,Stock_Num,Manager,Year_StartWork,BoardMember,R,Control,CHAIR,CEO,Duality,CEO1,IndCode,BSIZE,FOR_No,FOR,FOR_Ind_No,FOR_Ind,FOR_Org_No,FOR_Org,DOM_Ind_No,DOM_Ind,DOM_Org_No,DOM_Org,GOV
9.65903E+11,6.98698E+11,2.67205E+11,68325516559,56693113215,34761069613,3.44226E+12,3.40171E+12,HOSE,701,1,CTHĐQT,1953,1,1,565000,0,2009,1,0,0,0,,0,0,701,5,1020,0.005666667,0,0,0,0,0,0,5250000,29.2,0
1.54693E+12,1.01442E+12,5.32504E+11,54791248141,43930700685,48813547975,6.47919E+12,6.35334E+12,HOSE,701,1,CTHĐQT,1953,1,1,4189450,0,2009,1,0,0,0,,0,0,701,5,109288,0.239982602,0,0,0,0,0,0,6037500,13.26,0
,,,,,,,,HOSE,1001,1,CTHĐQT,1970,2,1,37527,0,2002,1,0,0,0,,0,0,1001,7,1101583426,29.58538105,0,0,935468783,25.12,0,0,2400204956,64.46,64.46
,,,,,,,,HOSE,1001,1,CTHĐQT,1970,2,1,37527,0,2002,1,0,0,0,,0,0,1001,8,1098195622,29.49439432,0,0,734604384,19.73,0,0,2400204956,64.46,64.46
4.43028E+12,2.96017E+12,1.47011E+12,1.57213E+11,1.2847E+11,-1129950136,9.17098E+11,9.17098E+11,HOSE,402,1,CTHĐQT,1975,2,1,1430000,0,2000,1,0,0,0,,0,0,402,7,15396913,24.43954561,0,0,10568840,16.77,4660760,7.4,0,0,0
4.52664E+12,3.06999E+12,1.45665E+12,96549019309,83988900701,-224959744,7.96621E+11,7.96621E+11,HOSE,402,1,CTHĐQT,1975,2,1,1430000,0,2000,1,0,0,0,,0,0,402,7,14940793,23.71554557,0,0,6200000,9.84,8551500,13.58,0,0,0
2.04673E+11,60070724414,1.44602E+11,7918384057,7611451720,-211182215,1.84985E+11,1.83905E+11,HNX,101,1,CTHĐQT,1973,0,1,1538900,0,2010,1,0,0,0,,0,0,101,5,143922,1.189438803,0,0,0,0,6375820,52.68,0,0,0
1.58044E+11,8925914136,1.49118E+11,6814483419,6424182282,-1144253878,1.45162E+11,1.45133E+11,HNX,101,1,CTHĐQT,1973,1,1,0,0,2010,1,0,0,0,,0,0,101,5,94062,0.777372415,0,0,0,0,2875068,23.76,2100000,17.36,0
,,,,,,,,HOSE,1002,1,CTHĐQT,1961,2,1,1747,0,2015,1,0,0,0,,0,0,1002,5,12945884,12.16300306,0,0,6526416,6.13,0,0,80486470,75.61,0
,,,,,,,,HOSE,1002,1,CTHĐQT,1961,2,1,1904,0,2015,1,0,0,0,,0,0,1002,5,12500064,11.74414329,0,0,6526416,6.13,0,0,80486470,75.61,0
6.14872E+11,5.55971E+11,58900925858,9898109568,7902471820,307694290,1.48481E+12,1.48481E+12,HNX,516,1,CTHĐQT,1964,0,1,0,0,,1,0,0,0,,0,0,516,5,21000,0.447060482,0,0,0,0,0,0,2270100,48.32,40.98
4.96225E+11,4.37589E+11,58635723685,14219460647,7012269647,-16859999257,1.5008E+12,1.5008E+12,HNX,516,1,CTHĐQT,1964,0,1,0,0,,1,0,0,0,,0,0,516,5,12000,0.255463132,0,0,0,0,0,0,2283100,48.6,40.98
2.90603E+12,2.10214E+12,8.03882E+11,12587127054,8153263428,-5738941584,1.54837E+11,1.54837E+11,HNX,401,1,CTHĐQT/TGĐ,1973,2,1,393300,1,2013,1,1,0,0,0,1,0,401,5,0,0,0,0,0,0,3698881,14.03,0,0,0
2.37323E+12,1.36832E+12,1.00491E+12,2.6449E+11,2.0103E+11,159559345,1.09262E+12,1.09262E+12,HNX,401,1,CTHĐQT/TGĐ,1973,2,1,784303,1,2013,1,1,0,0,0,1,0,401,5,499,0.000632388,0,0,0,0,4004043,5.07,0,0,0
76635921306,45092956,76590828350,3042926054,3042926054,25186611,24056834385,24056834385,HNX,601,1,CTHĐQT/GĐ,1982,1,1,0,1,2015,1,1,0,0,0,1,0,601,4,2100,0.025454545,0,0,0,0,4927500,59.72,0,0,0
1.55491E+11,14486841157,1.41004E+11,47089185658,46793261008,-18985847,2.11655E+11,2.11655E+11,HNX,601,1,CTHĐQT,0,0,0,0,0,,1,0,0,0,,0,0,601,3,2200,0.026666667,0,0,0,0,1660000,20.12,870000,10.55,0
1.33504E+12,7.00813E+11,6.34228E+11,2.03173E+11,1.61986E+11,3645974940,1.55303E+12,1.4509E+12,HOSE,513,1,CTHĐQT/TGĐ,1964,1,1,1899006,1,2006,1,1,0,0,0,1,0,513,5,5387657,14.68391048,0,0,0,0,2468707,6.72,4413782,12.02,0
1.23302E+12,5.33954E+11,6.99062E+11,2.06046E+11,1.6466E+11,2327031287,1.58118E+12,1.46806E+12,HOSE,513,1,CTHĐQT/TGĐ,1964,1,1,2468707,1,2006,1,1,0,0,0,1,0,513,7,4471989,12.18828261,0,0,0,0,4323247,11.77,3999037,10.89,0
1.18143E+11,90315711823,27826853395,1458202899,1134992599,-157848609,1.07683E+11,1.07683E+11,HNX,401,1,CTHĐQT,1958,1,1,161640,0,2003,1,0,0,0,,0,0,401,5,6618,0.299679805,0,0,0,0,161640,7.32,0,0,0
78021119670,50322289602,27698830068,951420869,690325477,-354056090,1.21201E+11,1.21201E+11,HNX,401,1,CTHĐQT,1958,1,1,281640,0,2003,1,0,0,0,,0,0,401,5,6618,0.299679805,0,0,0,0,761648,34.49,0,0,0
5.48968E+11,4.54953E+11,94015608964,17572452201,14001233821,-50124602,1.96132E+11,1.96132E+11,HNX,405,0,CTHĐQT/TGĐ,1964,1,1,194284,1,1983,1,1,0,1,1,1,1,405,7,0,0,0,0,0,0,0,0,1310400,20,20
6.4265E+11,5.33213E+11,1.09437E+11,35263970793,29062902301,-4417664466,3.97394E+11,3.97394E+11,HNX,405,0,CTHĐQT/TGĐ,1964,1,1,194284,1,1983,1,1,0,1,1,1,1,405,7,4141,0.063202413,0,0,0,0,1565593,23.89,1310400,20,20
1.59055E+12,1.1162E+12,4.74344E+11,1.18336E+11,94360996072,-1429369477,2.82522E+11,2.82522E+11,HOSE,405,0,CTHĐQT,1975,0,1,0,0,,1,0,0,1,,0,0,405,7,184610,1.725327103,0,0,0,0,0,0,6174000,57.94,0
2.09864E+12,1.30151E+12,7.97131E+11,4.68998E+11,3.75192E+11,472082515,7.63774E+11,7.63774E+11,HOSE,405,1,CTHĐQT/Phó TGĐ,1971,1,1,0,1,2011,1,1,0,0,,0,0,405,7,1188840,5.567037653,0,0,0,0,0,0,12348000,57.94,0
93786038085,14157325981,79628712104,16048240719,12680223439,1459978286,1.40217E+11,1.36292E+11,HNX,901,1,CTHĐQT,1969,1,1,0,0,,1,0,0,0,,0,0,901,5,1544000,30.88,295700,6.35,606200,13.01,0,0,2075000,44.54,44.54
1.11837E+11,28358664754,83478443419,17211887745,13364019017,314011709,1.77544E+11,1.71951E+11,HNX,901,0,CTHĐQT,1967,1,1,0,0,2019,1,0,0,1,,0,0,901,5,1551000,31.02,295700,6.35,606200,13.01,0,0,2075000,44.54,44.54
36561180948,5141115147,31420065801,5750267234,4612368507,10294546,59443850750,58147354721,HNX,901,0,CTHĐQT,1974,1,1,1092,0,2004,1,0,0,1,,0,0,901,5,386282,25.77481517,176700,11.79,0,0,106500,7.11,440761,29.41,29.41
43187253042,8002270927,35184982115,5725345671,4591361359,-19087377,64013498693,62989609018,HNX,901,1,CTHĐQT,1962,1,1,0,0,2019,1,0,0,0,,0,0,901,5,138532,9.243601036,0,0,0,0,106500,7.11,680061,45.38,29.41
